date,predicted_amount_cr,lower_bound_cr,upper_bound_cr
2018-01-01 00:00:00,17183.0,17183.343462919645,17183.343647795657
2018-04-01 00:00:00,30437.0,30437.42342188892,30437.423614841446
2018-07-01 00:00:00,47510.0,47510.14947193995,47510.149661634154
2018-10-01 00:00:00,67174.0,67173.63221680625,67173.63240663144
2019-01-01 00:00:00,99002.0,99002.13730226542,99002.137498822
2019-04-01 00:00:00,135421.0,135421.41478213627,135421.41496905565
2019-07-01 00:00:00,167256.0,167255.89423214464,167255.89441450711
2019-10-01 00:00:00,225989.0,225989.40116000932,225989.40133956762
2020-01-01 00:00:00,269711.0,269711.24825836305,269711.24844741885
2020-04-01 00:00:00,264615.0,264614.5238220144,264614.52401297435
2020-07-01 00:00:00,390205.0,390205.2913331773,390205.29152497125
2020-10-01 00:00:00,539585.0,539585.1832857592,539585.1834816583
2021-01-01 00:00:00,628424.0,628424.3575575528,628424.3577453727
2021-04-01 00:00:00,747647.0,747646.6393880072,747646.6395830383
2021-07-01 00:00:00,921670.0,921669.5849284929,921669.5851208244
2021-10-01 00:00:00,1162130.0,1162129.5243760198,1162129.5245699026
2022-01-01 00:00:00,1323963.0,1323963.0653291252,1323963.0655203871
2022-04-01 00:00:00,1550419.0,1550418.755906015,1550418.7560954392
2022-07-01 00:00:00,1660763.0,1660762.695894405,1660762.6960839005
2022-10-01 00:00:00,1891489.0,1891489.0497062702,1891489.0498903592
2023-01-01 00:00:00,2051396.0,2051395.8162645958,2051395.8164565356
2023-04-01 00:00:00,2291850.0,2291849.610785027,2291849.61097452
2023-07-01 00:00:00,2401213.0,2401213.2830072683,2401213.283199423
2023-10-01 00:00:00,2704723.0,2704723.070029753,2704723.0702244896
2024-01-01 00:00:00,2945843.0,2945843.3926965,2945843.3929032353
2024-04-01 00:00:00,3182035.0,3182035.252887478,3182035.253079654
2024-07-01 00:00:00,3234697.0,3234696.6987003232,3234696.6988892313
2024-10-01 00:00:00,3599880.0,3599880.3860578905,3599880.386259633
2025-01-01 00:00:00,3720439.0,3703515.9259129297,3738197.931375679
2025-04-01 00:00:00,4032966.0,3978771.324390058,4093330.2450613743
2025-07-01 00:00:00,4068939.0,3969618.4643230974,4182087.1029984565
2025-10-01 00:00:00,4474159.0,4303483.746830178,4656625.545047456
